Player,From,To,Pos,Ht,Wt,Birth Date,College
Sam Jones*\jonessa01,1958,1969,G-F,193,198,June 24 1933,North Carolina Central University
Shelton Jones\jonessh01,1989,1989,F,205,210,April 6 1966,St. John's University
Solomon Jones\jonesso01,2007,2014,F,208,230,July 16 1984,University of South Florida
Steve Jones\jonesst01,1968,1976,G-F,195,205,October 17 1942,University of Oregon
Terrence Jones\joneste01,2013,2017,F,205,252,January 9 1992,University of Kentucky
Tyus Jones\jonesty01,2016,2017,G,187,195,May 10 1996,Duke University
Wah Wah Jones\joneswa01,1950,1952,F,193,225,July 14 1926,University of Kentucky
Wali Jones\joneswa02,1965,1976,G,187,180,February 14 1942,Villanova University
Wil Jones\joneswi02,1970,1978,F,203,205,February 27 1947,Albany State University
Willie Jones\joneswi01,1961,1965,G,190,185,June 29 1936,Northwestern University
Adonis Jordan\jordaad01,1994,1999,G,180,170,August 21 1970,University of Kansas
Charles Jordan\jordach01,1976,1976,F,203,220,January 31 1954,Canisius College
DeAndre Jordan\jordade01,2009,2017,C,210,265,July 21 1988,Texas A&M University
Eddie Jordan\jordaed01,1978,1984,G,185,170,January 29 1955,Rutgers University
Jerome Jordan\jordaje01,2012,2015,C,213,253,September 29 1986,University of Tulsa
Michael Jordan*\jordami01,1985,2003,G-F,198,195,February 17 1963,University of North Carolina
Reggie Jordan\jordare01,1994,2000,G,193,195,January 26 1968,New Mexico State University
Thomas Jordan\jordath01,1993,1993,F-C,208,220,May 23 1968,Oklahoma State University
Walter Jordan\jordawa01,1981,1981,F,200,198,February 19 1956,Purdue University
Phil Jordon\jordoph01,1957,1963,C-F,208,205,September 12 1933,Whitworth
Johnny Jorgensen\jorgejo01,1948,1949,G-F,187,185,December 28 1921,DePaul University
Noble Jorgensen\jorgeno01,1947,1953,C,205,228,May 18 1925,University of Iowa
Roger Jorgensen\jorgero01,1947,1947,C-F,195,200,September 2 1920,Ohio State University
Cory Joseph\josepco01,2012,2017,G,190,193,August 20 1991,University of Texas at Austin
Garth Joseph\josepga01,2001,2001,C,218,315,August 8 1973,College of Saint Rose
Kris Joseph\josepkr01,2013,2013,F,200,210,December 17 1988,Syracuse University
Yvon Joseph\josepyv01,1986,1986,C,210,245,October 31 1957,Georgia Institute of Technology
Kevin Joyce\joyceke01,1974,1976,G,190,190,June 27 1951,University of South Carolina
Butch Joyner\joynebu01,1969,1969,F,195,200,April 26 1945,Indiana University
Jeff Judkins\judkije01,1979,1983,G-F,198,185,March 23 1956,University of Utah
Whitey Kachan\kachawh01,1949,1949,G,187,175,September 15 1925,DePaul University
George Kaftan\kaftage01,1949,1953,F,190,190,February 22 1928,College of the Holy Cross
Ed Kalafat\kalafed01,1955,1957,C-F,198,245,October 13 1932,University of Minnesota
Chris Kaman\kamanch01,2004,2016,C,213,265,April 28 1982,Central Michigan University
Frank Kaminsky\kaminfr01,2016,2017,F-C,213,242,April 4 1993,University of Wisconsin
Enes Kanter\kanteen01,2012,2017,C,210,245,May 20 1992,
Ralph Kaplowitz\kaplora01,1947,1948,G-F,187,170,May 18 1919,New York University
Jason Kapono\kaponja01,2004,2012,F,203,213,February 4 1981,University of California Los Angeles
Tony Kappen\kappeto01,1947,1947,G,177,165,April 13 1919,
Sergey Karasev\karasse01,2014,2016,G-F,200,208,October 26 1993,
Coby Karl\karlco01,2008,2010,G,195,215,March 6 1983,Boise State University
George Karl\karlge01,1974,1978,,,,May 12 1952,University of North Carolina
Ed Kasid\kasided01,1947,1947,G,180,185,August 13 1923,
Mario Kasun\kasunma01,2005,2006,C,215,260,April 5 1980,
Leo Katkaveck\katkale01,1949,1950,G,182,185,April 17 1923,North Carolina State University
Bob Kauffman\kauffbo01,1969,1975,F-C,203,240,July 13 1946,Guilford College
Sasha Kaun\kaunsa01,2016,2016,C,210,260,May 8 1985,University of Kansas
Wilbert Kautz\kautzwi01,1947,1947,G-F,182,180,September 7 1915,Loyola University of Chicago
Clarence Kea\keacl01,1981,1982,F,198,218,February 2 1959,Lamar University
Mike Kearns\kearnmi01,1955,1955,G,187,178,June 18 1929,Princeton University
Tommy Kearns\kearnto01,1959,1959,G,180,185,October 6 1936,University of North Carolina
Adam Keefe\keefead01,1993,2001,F,205,230,February 22 1970,Stanford University
Harold Keeling\keeliha01,1986,1986,G,193,185,September 18 1963,Santa Clara University
Bill Keller\kellebi01,1970,1976,G,177,177,August 30 1947,Purdue University
Gary Keller\kellega01,1968,1969,F-C,205,220,June 13 1944,University of Florida
Ken Keller\kelleke01,1947,1947,G,185,180,August 16 1922,St. John's University
Rich Kelley\kelleri01,1976,1986,C-F,213,235,March 23 1953,Stanford University
Clark Kellogg\kellocl01,1983,1987,F,200,225,July 2 1961,Ohio State University
Arvesta Kelly\kellyar01,1968,1972,G,187,175,November 20 1945,Lincoln University of Missouri
Jerry Kelly\kellyje01,1947,1948,F,187,172,June 14 1918,Marshall University
Ryan Kelly\kellyry01,2014,2017,F,210,230,April 9 1991,Duke University
Tom Kelly\kellyto01,1949,1949,G,182,170,March 5 1924,New York University
Greg Kelser\kelsegr01,1980,1985,F,200,190,September 17 1957,Michigan State University
Ben Kelso\kelsobe01,1974,1974,G,190,195,April 11 1949,Central Michigan University
Shawn Kemp\kempsh01,1990,2003,F-C,208,230,November 26 1969,Trinity Valley Community College
Tim Kempton\kemptti01,1987,1998,F-C,208,245,January 25 1964,University of Notre Dame
Frank Kendrick\kendrfr01,1975,1975,F,198,198,September 11 1950,Purdue University
D.J. Kennedy\kennedj01,2012,2012,F,198,215,November 5 1989,St. John's University
Goo Kennedy\kennego01,1972,1977,F-C,195,205,August 23 1949,Texas Christian University
Joe Kennedy\kennejo01,1969,1971,F,198,210,January 12 1947,Duke University
Pickles Kennedy\kennepi01,1961,1961,G,180,180,May 17 1938,Temple University
Larry Kenon\kenonla01,1974,1983,F,205,205,December 13 1952,University of Memphis
Billy Kenville\kenvibi01,1954,1960,G-F,187,187,December 1 1930,St. Bonaventure University
Jonathan Kerner\kernejo01,1999,1999,C,210,245,June 6 1974,East Carolina University
Red Kerr\kerrre01,1955,1966,C-F,205,230,July 17 1932,University of Illinois at Urbana-Champaign
Steve Kerr\kerrst01,1989,2003,G,190,175,September 27 1965,University of Arizona
Jack Kerris\kerrija01,1950,1953,F-C,198,215,January 30 1925,Loyola University of Chicago
Jerome Kersey\kerseje01,1985,2001,F,200,215,June 26 1962,Longwood University
Tom Kerwin\kerwito01,1968,1968,F,200,210,July 7 1944,Centenary College of Louisiana
Alec Kessler\kesslal01,1991,1994,F-C,210,230,January 13 1967,University of Georgia
Lari Ketner\ketnela01,2000,2001,F-C,205,277,February 1 1977,University of Massachusetts Amherst
Julius Keye\keyeju01,1970,1975,F-C,208,200,September 5 1946,Alcorn State University
Randolph Keys\keysra01,1989,1996,F-G,200,195,April 19 1966,University of Southern Mississippi
Viktor Khryapa\khryavi01,2005,2008,F,205,210,August 3 1982,
Jason Kidd\kiddja01,1995,2013,G,193,205,March 23 1973,University of California
Warren Kidd\kiddwa01,1994,1994,F,205,235,September 9 1970,Middle Tennessee State University
Michael Kidd-Gilchrist\kiddgmi01,2013,2017,F,200,232,September 26 1993,University of Kentucky
Irv Kiffin\kiffiir01,1980,1980,F,205,225,August 8 1951,Oklahoma Baptist University
Jack Kiley\kileyja01,1952,1953,G,185,170,January 5 1929,Syracuse University
Earnie Killum\killuea01,1971,1971,G,190,180,June 11 1948,Stetson University
Carl Kilpatrick\kilpaca01,1980,1980,C,208,230,May 16 1956,University of Louisiana at Monroe
Sean Kilpatrick\kilpase01,2015,2017,G,193,210,January 6 1990,University of Cincinnati
Toby Kimball\kimbato01,1967,1975,F-C,198,220,September 7 1942,University of Connecticut
Bo Kimble\kimblbo01,1991,1993,G,193,190,April 9 1966,Loyola Marymount University
Stan Kimbrough\kimbrst01,1990,1993,G,180,153,April 24 1966,Xavier University
Chad Kinch\kinchch01,1981,1981,G,193,190,May 22 1958,University of North Carolina at Charlotte
Albert King\kingal01,1982,1992,F-G,198,190,December 17 1959,University of Maryland
Bernard King*\kingbe01,1978,1993,F,200,205,December 4 1956,University of Tennessee
Chris King\kingch01,1994,1999,F,203,215,July 24 1969,Wake Forest University
Dan King\kingda01,1955,1955,F,198,220,January 7 1931,Western Kentucky University
Frankie King\kingfr01,1996,1997,G,185,185,June 6 1972,Western Carolina University
George King\kingge01,1952,1958,G,182,175,August 16 1928,University of Charleston
Gerard King\kingge02,1999,2001,F,205,230,November 25 1972,Nicholls State University
Jim King\kingji01,1964,1973,G,187,175,February 7 1941,University of Tulsa
Jimmy King\kingji02,1996,1997,G,195,210,August 9 1973,University of Michigan
Loyd King\kinglo01,1972,1973,G,187,180,May 29 1949,Virginia Polytechnic Institute and State University
Maury King\kingma01,1960,1963,G,187,195,March 12 1935,University of Kansas
Reggie King\kingre01,1980,1985,F,198,225,February 14 1957,University of Alabama
Rich King\kingri01,1992,1995,C,218,260,April 4 1969,University of Nebraska
Ron King\kingro01,1974,1974,G,193,185,July 11 1951,Florida State University
Stacey King\kingst01,1990,1997,F-C,210,230,January 29 1967,University of Oklahoma
Tom King\kingto01,1947,1947,G,182,165,March 9 1924,University of Michigan
Bob Kinney\kinnebo01,1949,1950,C-F,198,215,September 16 1920,Rice University
Tarence Kinsey\kinseta01,2007,2009,G,198,185,March 21 1984,University of South Carolina
Andrei Kirilenko\kirilan01,2002,2015,F,205,220,February 18 1981,
Alex Kirk\kirkal01,2015,2015,C,213,245,November 14 1991,University of New Mexico
Walt Kirk\kirkwa01,1949,1952,G-F,190,173,September 3 1924,University of Illinois at Urbana-Champaign
Wilber Kirkland\kirklwi01,1970,1970,F,200,190,,Cheyney University of Pennsylvania
Jim Kissane\kissaji01,1969,1969,F,200,210,August 17 1946,Boston College
Doug Kistler\kistldo01,1962,1962,F,205,210,March 21 1938,Duke University
Curtis Kitchen\kitchcu01,1987,1987,F,205,235,January 30 1964,University of South Florida
Greg Kite\kitegr01,1984,1995,C,210,250,August 5 1961,Brigham Young University
Kerry Kittles\kittlke01,1997,2005,G,195,179,June 12 1974,Villanova University
Joe Kleine\kleinjo01,1986,2000,C,210,255,January 4 1962,University of Arkansas
Linas Kleiza\kleizli01,2006,2013,F,203,245,January 3 1985,University of Missouri
Leo Klier\klierle01,1949,1950,F-G,187,170,May 21 1923,University of Notre Dame
Herm Klotz\klotzhe01,1948,1948,G,170,150,October 21 1921,Villanova University
Duane Klueh\kluehdu01,1950,1951,G,190,175,January 6 1926,Indiana State University
Lonnie Kluttz\kluttlo01,1971,1971,F,200,220,September 17 1945,North Carolina Agricultural and Technical State University
Billy Knight\knighbi01,1975,1985,G-F,198,195,June 9 1952,University of Pittsburgh
Bob Knight\knighbo01,1955,1955,G-F,187,185,April 30 1929,
Brandin Knight\knighbr02,2005,2005,G,182,180,December 16 1981,University of Pittsburgh
Brandon Knight\knighbr03,2012,2017,G,190,189,December 2 1991,University of Kentucky
Brevin Knight\knighbr01,1998,2009,G,177,173,November 8 1975,Stanford University
Negele Knight\knighne01,1991,1999,G,185,175,March 6 1967,University of Dayton
Ron Knight\knighro01,1971,1972,F,200,215,August 4 1947,California State University Los Angeles
Toby Knight\knighto01,1978,1982,F,205,210,May 3 1955,University of Notre Dame
Travis Knight\knightr01,1997,2003,C,213,235,September 13 1974,University of Connecticut
Lee Knorek\knorele01,1947,1950,C,200,215,July 15 1921,University of Detroit Mercy
Dick Knostman\knostdi01,1954,1954,C,198,215,August 9 1931,Kansas State University
Rod Knowles\knowlro01,1969,1969,F-C,205,215,February 27 1946,Davidson College
Bart Kofoed\kofoeba01,1988,1993,G,193,210,March 24 1964,University of Nebraska at Kearney
Don Kojis\kojisdo01,1964,1975,F,195,215,January 15 1939,Marquette University
Milo Komenich\komenmi01,1950,1950,F-C,200,212,June 22 1920,University of Wyoming
Howard Komives\komivho01,1965,1974,G,185,185,May 9 1941,Bowling Green State University
Jon Koncak\koncajo01,1986,1996,C-F,213,250,May 17 1963,Southern Methodist University
Tom Kondla\kondlto01,1969,1969,C,203,225,November 30 1946,University of Minnesota
Bud Koper\koperbu01,1965,1965,G,198,210,August 9 1942,Oklahoma City University
Joe Kopicki\kopicjo01,1983,1985,F,205,240,June 12 1960,University of Detroit Mercy
Frank Kornet\kornefr01,1990,1991,F,205,225,January 27 1967,Vanderbilt University
Yaroslav Korolev\korolya01,2006,2007,F,205,203,May 7 1987,
Kyle Korver\korveky01,2004,2017,G-F,200,212,March 17 1981,Creighton University
Tony Koski\koskito01,1969,1969,F,203,215,June 26 1946,Providence College
Len Kosmalski\kosmale01,1975,1976,C,213,245,November 29 1951,University of Tennessee
Andy Kostecka\kostean01,1949,1949,F,190,203,February 10 1921,Georgetown University
Harold Kottman\kottmha01,1947,1947,C,203,220,August 22 1922,Culver-Stockton College
Kosta Koufos\koufoko01,2009,2017,C,213,265,February 24 1989,Ohio State University
Tom Kozelko\kozelto01,1974,1976,F,203,220,July 1 1951,University of Toledo
Ronald Kozlicki\kozliro01,1968,1968,F,200,215,December 12 1944,Northwestern University
Arvid Kramer\kramear01,1980,1980,C,205,220,October 2 1956,Augustana College (SD)
Barry Kramer\krameba01,1965,1970,F-G,193,200,November 10 1942,New York University
Joel Kramer\kramejo01,1979,1983,F-C,200,203,November 30 1955,San Diego State University
Steven Kramer\kramest01,1968,1970,G-F,195,200,January 1 1945,Brigham Young University
Dan Kraus\krausda01,1949,1949,G,182,195,February 13 1923,Georgetown University
Herb Krautblatt\krauthe01,1949,1949,G,185,190,November 19 1926,Rider University
Viacheslav Kravtsov\kravtvi01,2013,2014,C,213,260,August 25 1987,
Jim Krebs\krebsji01,1958,1964,C-F,203,230,September 8 1935,Southern Methodist University
Wayne Kreklow\kreklwa01,1981,1981,G,193,175,January 4 1957,Drake University
Tommy Kron\kronto01,1967,1970,G,195,200,February 28 1943,University of Kentucky
Tom Kropp\kroppto01,1976,1977,G,190,205,February 12 1953,University of Nebraska at Kearney
Nenad Krstic\krstine01,2005,2011,C,213,240,July 25 1983,
Larry Krystkowiak\krystla01,1987,1997,F-C,205,220,September 23 1964,University of Montana
Steve Kuberski\kuberst01,1970,1978,F-C,203,215,November 6 1947,Bradley University
Leo Kubiak\kubiale01,1950,1950,G,180,160,December 25 1927,Bowling Green State University
Bruce Kuczenski\kuczebr01,1984,1984,F,208,230,February 3 1961,University of Connecticut
Frank Kudelka\kudelfr01,1950,1953,G-F,187,193,June 25 1925,Saint Mary's College of California
John Kuester\kuestjo01,1978,1980,G,187,180,February 6 1955,University of North Carolina
Ray Kuka\kukara01,1948,1949,F,190,200,February 17 1922,University of Notre Dame
Toni Kukoc\kukocto01,1994,2006,F,208,192,September 18 1968,
Kevin Kunnert\kunneke01,1974,1982,C-F,213,230,November 11 1951,University of Iowa
Terry Kunze\kunzete01,1968,1968,G-F,193,210,March 11 1943,University of Minnesota
Mitch Kupchak\kupchmi01,1977,1986,F-C,205,230,May 24 1954,University of North Carolina
C.J. Kupec\kupeccj01,1976,1978,F-C,198,220,January 16 1953,University of Michigan
Rob Kurz\kurzro01,2009,2009,F,205,232,March 5 1985,University of Notre Dame
Ibo Kutluay\kutluib01,2005,2005,G,198,200,July 1 1974,
Ognjen Kuzmic\kuzmiog01,2014,2015,C,215,251,May 16 1990,
Mindaugas Kuzminskas\kuzmimi01,2017,2017,F,205,215,October 19 1989,
Skal Labissiere\labissk01,2017,2017,F,210,225,March 18 1996,University of Kentucky
Reggie Lacefield\lacefre01,1969,1969,G-F,195,230,April 10 1945,Western Michigan University
Edgar Lacey\laceyed01,1969,1969,F,198,190,August 2 1944,University of California Los Angeles
Sam Lacey\laceysa01,1971,1983,C,208,235,March 28 1948,New Mexico State University
Bob Lackey\lackebo01,1973,1974,G-F,195,200,April 4 1949,Marquette University
Fred LaCour\lacoufr01,1961,1963,G-F,195,210,February 7 1938,University of San Francisco
Wendell Ladner\ladnewe01,1971,1975,F,195,220,October 6 1948,University of Southern Mississippi
Christian Laettner\laettch01,1993,2005,F-C,210,235,August 17 1969,Duke University
Oliver Lafayette\lafayol01,2010,2010,G,187,190,May 6 1984,University of Houston
Raef LaFrentz\lafrera01,1999,2008,F-C,210,240,May 29 1976,University of Kansas
Tom LaGarde\lagarto01,1978,1985,C-F,208,220,February 10 1955,University of North Carolina
Bill Laimbeer\laimbbi01,1981,1994,C,210,245,May 19 1957,University of Notre Dame
Pete Lalich\lalicpe01,1947,1947,F,187,190,June 23 1920,Ohio University
Bo Lamar\lamarbo01,1974,1977,G,185,180,April 7 1951,University of Louisiana at Lafayette
Doron Lamb\lambdo01,2013,2014,G,193,210,November 6 1991,University of Kentucky
Jeremy Lamb\lambje01,2013,2017,G-F,195,185,May 30 1992,University of Connecticut
John Lambert\lambejo01,1976,1982,C-F,208,225,January 14 1953,University of Southern California
Jeff Lamp\lampje01,1982,1989,F-G,198,195,March 9 1959,University of Virginia
Maciej Lampe\lampema01,2004,2006,C,210,275,February 5 1985,
Jim Lampley\lamplji01,1987,1987,C,208,230,July 2 1960,University of Arkansas at Little Rock
Sean Lampley\lamplse01,2003,2004,F,200,227,September 3 1979,University of California
Carl Landry\landrca01,2008,2016,F,205,248,September 19 1983,Purdue University
Marcus Landry\landrma01,2010,2010,F,200,230,November 1 1985,University of Wisconsin
Mark Landsberger\landsma01,1978,1984,F-C,203,215,May 21 1955,Arizona State University
Jerome Lane\laneje01,1989,1993,F,198,230,December 4 1966,University of Pittsburgh
Andrew Lang\langan01,1989,2000,C,210,245,June 28 1966,University of Arkansas
Antonio Lang\langan02,1995,2000,F-G,203,205,May 15 1972,Duke University
James Lang\langja01,2007,2007,C,208,285,October 17 1983,
Trajan Langdon\langdtr01,2000,2002,G,190,197,May 13 1976,Duke University
Keith Langford\langfke01,2008,2008,G,193,215,September 15 1983,University of Kansas
Dan Langhi\langhda01,2001,2004,F,210,220,November 28 1977,Vanderbilt University
Bob Lanier*\laniebo01,1971,1984,C,210,250,September 10 1948,St. Bonaventure University
Stu Lantz\lantzst01,1969,1976,G,190,175,July 13 1946,University of Nebraska
Nicolas Laprovittola\laproni01,2017,2017,G,193,180,January 31 1990,
York Larese\laresyo01,1962,1962,G,193,183,July 18 1938,University of North Carolina
Shane Larkin\larkish01,2014,2016,G,180,175,October 2 1992,University of Miami
Rusty LaRue\larueru01,1998,2004,G,187,210,December 10 1973,Wake Forest University
Rudy LaRusso\larusru01,1960,1969,F-C,200,220,November 11 1937,Dartmouth College
John Laskowski\laskojo01,1976,1977,G,198,185,June 7 1953,Indiana University
Stephane Lasme\lasmest01,2008,2008,F,203,215,December 17 1982,University of Massachusetts Amherst
Dave Lattin\lattida01,1968,1973,F-C,198,225,December 23 1943,University of Texas at El Paso
Priest Lauderdale\laudepr01,1997,1998,C,223,325,August 31 1973,Central State University
Rich Laurel\laureri01,1978,1978,G,198,190,July 11 1954,Hofstra University
Harry Laurie\lauriha01,1971,1971,G,185,178,November 2 1944,Saint Peter's College
Walt Lautenbach\lautewa01,1950,1950,G-F,187,185,November 17 1922,University of Wisconsin
Joffrey Lauvergne\lauvejo01,2015,2017,C-F,210,220,September 30 1991,
Tony Lavelli\lavelto01,1950,1951,F,190,185,July 11 1926,Yale University
Zach LaVine\lavinza01,2015,2017,G,195,189,March 10 1995,University of California Los Angeles
Bob Lavoy\lavoybo01,1951,1954,F-C,200,185,June 29 1926,Western Kentucky University
Acie Law\lawac01,2008,2011,G,190,195,January 25 1985,Texas A&M University
Gani Lawal\lawalga01,2011,2011,F,205,234,November 7 1988,Georgia Institute of Technology
Edmund Lawrence\lawreed01,1981,1981,C,213,228,December 8 1952,McNeese State University
Jason Lawson\lawsoja01,1998,1998,C,210,240,September 2 1974,Villanova University
Ty Lawson\lawsoty01,2010,2017,G,180,195,November 3 1987,University of North Carolina
Jake Layman\laymaja01,2017,2017,F,205,210,March 7 1994,University of Maryland
Mo Layton\laytomo01,1972,1978,G,185,180,December 24 1948,University of Southern California
Manny Leaks\leaksma01,1969,1974,C-F,203,225,November 27 1945,Niagara University
Hal Lear\learha01,1957,1957,G,182,163,January 31 1935,Temple University
Allen Leavell\leaveal01,1980,1989,G,185,170,May 27 1957,Oklahoma City University
Jeff Lebo\leboje01,1990,1990,G,187,180,October 5 1966,University of North Carolina
Eric Leckner\leckner01,1989,1997,C-F,210,265,May 27 1966,University of Wyoming
Ricky Ledo\ledori01,2014,2015,G,200,195,September 10 1992,
Butch Lee\leebu01,1979,1980,G,182,185,December 5 1956,Marquette University
Clyde Lee\leecl01,1967,1976,F-C,208,205,March 14 1944,Vanderbilt University
Courtney Lee\leeco01,2009,2017,G,195,200,October 3 1985,Western Kentucky University
David Lee\leeda01,1968,1969,F,200,225,March 31 1942,University of San Francisco
David Lee\leeda02,2006,2017,F,205,245,April 29 1983,University of Florida
Dick Lee\leedi01,1968,1968,F,198,,,University of Washington
Doug Lee\leedo01,1992,1995,G-F,195,200,October 24 1964,Purdue University
George Lee\leege01,1961,1968,F-G,193,200,November 23 1936,University of Michigan
Greg Lee\leegr01,1975,1976,G,190,190,December 12 1951,University of California Los Angeles
Keith Lee\leeke01,1986,1989,F-C,208,215,December 28 1962,University of Memphis
Kurk Lee\leeku01,1991,1991,G,190,190,June 3 1967,Towson University
Malcolm Lee\leema01,2012,2015,G,195,200,May 22 1990,University of California Los Angeles
Rock Lee\leero02,1982,1982,C,208,220,May 1 1955,San Diego State University
Ron Lee\leero01,1977,1982,G,193,193,November 2 1952,University of Oregon
Russ Lee\leeru01,1973,1975,G-F,195,185,January 27 1950,Marshall University
Ed Leede\leedeed01,1950,1951,F-G,190,185,July 17 1927,Dartmouth College
Hank Lefkowitz\lefkoha01,1947,1947,F,187,190,August 31 1923,Case Western Reserve University
Tim Legler\legleti01,1990,2000,G,193,200,December 26 1966,La Salle University
George Lehmann\lehmage01,1968,1974,G,182,180,May 1 1942,Campbell University
Alex Len\lenal01,2014,2017,C,215,260,June 16 1993,University of Maryland
Voshon Lenard\lenarvo01,1996,2006,G,193,205,May 14 1973,University of Minnesota
Leary Lentz\lentzle01,1968,1969,F,198,200,February 23 1945,University of Houston
Gary Leonard\leonaga01,1990,1992,C,215,250,February 16 1967,University of Missouri
Kawhi Leonard\leonaka01,2012,2017,F,200,230,June 29 1991,San Diego State University
Meyers Leonard\leoname01,2013,2017,C-F,215,245,February 27 1992,University of Illinois at Urbana-Champaign
Slick Leonard*\leonasl01,1957,1963,G,190,185,July 17 1932,Indiana University
Jim Les\lesji01,1989,1995,G,180,165,August 18 1963,Bradley University
Travis Leslie\leslitr01,2012,2012,G,193,205,March 29 1990,University of Georgia
Ronnie Lester\lestero01,1981,1986,G,187,175,January 1 1959,University of Iowa
Clifford Lett\lettcl01,1990,1991,G,190,170,December 23 1965,University of Florida
Jon Leuer\leuerjo01,2012,2017,F,208,228,May 14 1989,University of Wisconsin
Andrew Levane\levanan01,1949,1953,F-G,187,190,April 11 1920,St. John's University
Fat Lever\leverfa01,1983,1994,G,190,170,August 18 1960,Arizona State University
Caris LeVert\leverca01,2017,2017,G-F,200,203,August 25 1994,University of Michigan
Cliff Levingston\levincl01,1983,1995,F,203,210,January 4 1961,Wichita State University
Bobby Lewis\lewisbo01,1968,1971,G,190,175,March 20 1945,University of North Carolina
Cedric Lewis\lewisce01,1996,1996,F-C,208,235,September 24 1969,University of Maryland
Freddie Lewis\lewisfr01,1949,1950,F-G,187,195,January 6 1921,Eastern Kentucky University
Freddie Lewis\lewisfr02,1967,1977,G,182,175,July 1 1943,Arizona State University
Grady Lewis\lewisgr01,1947,1949,F-C,200,215,March 25 1917,University of Oklahoma
Martin Lewis\lewisma01,1996,1997,F,195,210,April 28 1975,Seward County Community College
Mike Lewis\lewismi01,1969,1974,C-F,203,225,March 18 1946,Duke University
Quincy Lewis\lewisqu01,2000,2004,F,200,215,June 26 1977,University of Minnesota
Ralph Lewis\lewisra01,1988,1990,G,198,200,March 28 1963,La Salle University
Rashard Lewis\lewisra02,1999,2014,F,208,215,August 8 1979,
Reggie Lewis\lewisre01,1988,1993,G-F,200,195,November 21 1965,Northeastern University
Marcus Liberty\liberma01,1991,1994,F,203,205,October 27 1968,University of Illinois at Urbana-Champaign
Todd Lichti\lichtto01,1990,1994,G-F,193,205,January 8 1967,Stanford University
Barry Liebowitz\lieboba01,1968,1968,G,187,180,September 10 1945,Long Island University
DeAndre Liggins\liggide01,2012,2017,G,198,209,March 31 1988,University of Kentucky
Bill Ligon\ligonbi01,1975,1975,G,193,180,May 29 1952,Vanderbilt University
Goose Ligon\ligongo01,1968,1974,F-C,200,210,February 22 1944,
Damian Lillard\lillada01,2013,2017,G,190,195,July 15 1990,Weber State University
Jeremy Lin\linje01,2011,2017,G,190,200,August 23 1988,Harvard University
Steve Lingenfelter\lingest01,1983,1984,F,205,225,June 10 1958,South Dakota State University
Alton Lister\listeal01,1982,1998,C-F,213,240,October 1 1958,Arizona State University
Samuel Little\littlsa01,1970,1970,G,182,180,March 29 1946,Delta State University
Gene Littles\littlge01,1970,1975,G,182,160,June 29 1943,High Point University
Randy Livingston\livinra01,1997,2007,G,193,209,April 2 1975,Louisiana State University
Shaun Livingston\livinsh01,2005,2017,G,200,192,September 11 1985,
Ron Livingstone\livinro01,1950,1951,C,208,220,October 9 1925,University of Wyoming
Horacio Llamas Grey\llamaho01,1997,1998,C,210,285,July 17 1973,Grand Canyon University
Bobby Lloyd\lloydbo01,1968,1969,G,187,184,January 3 1946,Rutgers University
Chuck Lloyd\lloydch01,1971,1971,C-F,203,220,May 22 1947,Yankton College
Earl Lloyd*\lloydea01,1951,1960,F-C,195,200,April 3 1928,West Virginia State University
Lewis Lloyd\lloydle01,1982,1990,G-F,198,205,February 22 1959,Drake University
Scott Lloyd\lloydsc01,1977,1983,C-F,208,230,December 19 1952,Arizona State University
Riney Lochmann\lochmri01,1968,1970,F,198,215,May 26 1944,University of Kansas
Bob Lochmueller\lochmbo01,1953,1953,F,195,185,June 5 1927,University of Louisville
Rob Lock\lockro01,1989,1989,F,205,225,May 22 1966,University of Kentucky
Darrell Lockhart\lockhda01,1984,1984,C,205,245,September 14 1960,Auburn University
Ian Lockhart\lockhia01,1991,1991,F,203,240,June 25 1967,University of Tennessee
Kevin Loder\loderke01,1982,1984,F-G,198,205,March 15 1959,Alabama State University
Don Lofgran\lofgrdo01,1951,1954,F-C,195,200,November 18 1928,University of San Francisco
Henry Logan\loganhe01,1969,1970,G,182,180,March 14 1946,Western Carolina University
John Logan\loganjo01,1947,1951,G,187,175,January 1 1921,Indiana University
Brad Lohaus\lohaubr01,1988,1998,F-C,210,230,September 29 1964,University of Iowa
Art Long\longar01,2001,2003,F,205,250,October 1 1972,University of Cincinnati
Grant Long\longgr01,1989,2003,F,203,225,March 12 1966,Eastern Michigan University
John Long\longjo01,1979,1997,G-F,195,195,August 28 1956,University of Detroit Mercy
Paul Long\longpa01,1968,1971,G,187,180,February 8 1944,Wake Forest University
Shawn Long\longsh01,2017,2017,C-F,205,255,January 29 1993,University of Louisiana at Lafayette
Willie Long\longwi01,1972,1974,F-C,203,225,March 1 1950,University of New Mexico
Luc Longley\longllu01,1992,2001,C,218,265,January 19 1969,University of New Mexico
Kevon Looney\looneke01,2016,2017,F-C,205,220,February 6 1996,University of California Los Angeles
Brook Lopez\lopezbr01,2009,2017,C,213,275,April 1 1988,Stanford University
Felipe Lopez\lopezfe01,1999,2002,G,195,199,December 19 1974,St. John's University
Raul Lopez\lopezra01,2004,2005,G,185,170,April 15 1980,
Robin Lopez\lopezro01,2009,2017,C,213,255,April 1 1988,Stanford University
Ryan Lorthridge\lorthry01,1995,1995,G,193,190,July 27 1972,Jackson State University
Jim Loscutoff\loscuji01,1956,1964,F,195,220,February 4 1930,University of Oregon
